# IndexValue_NDXT, Volume_GOOGL,Volume_AAPL,CPI,High_GOOGL,High_AAPL, NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
2.390094179960899964e+03,3.798789171241649985e+07,1.676979915891306996e+08,2.373459226518053242e+02,2.732897850201361223e+01,3.209258193293848649e+01,-1.205352514549531406e+00,2.402586857814733321e+03,2.380231617370509412e+03,2.716077353511157355e+01,3.141237643940999646e+01,2.670466069675844523e+01,3.209258193293848649e+01,3.141237643940999646e+01,3.129768033151964346e+01
2.406269821442849661e+03,3.314944419250407442e+07,1.382787318251090050e+08,2.374033507942370136e+02,2.737857913168831203e+01,3.203923406280564734e+01,3.542554461286432144e+00,2.432260960604217416e+03,2.403851401251736206e+03,2.721597452091634750e+01,3.200663718528637958e+01,2.721003765979605760e+01,3.203923406280564734e+01,3.200663718528637958e+01,3.172909662451695567e+01
2.427207529444091051e+03,3.097934790706269071e+07,1.491669855845016241e+08,2.374607789366685324e+02,2.754790683043029276e+01,3.223884603011698857e+01,1.257998665156996765e+00,2.429208009635659437e+03,2.398235077579796780e+03,2.740189347204606918e+01,3.174617547679424945e+01,2.703992284262626811e+01,3.223884603011698857e+01,3.174617547679424945e+01,3.152968429633861547e+01
2.418021213683382939e+03,5.733662454759538174e+07,1.665152024405781329e+08,2.375182070791002502e+02,2.810405509684029823e+01,3.263772174684608274e+01,3.573581637412132750e+00,2.428593510674670597e+03,2.402743846358249812e+03,2.786788131256686540e+01,3.210171245577856780e+01,2.752549471477924925e+01,3.263772174684608274e+01,3.210171245577856780e+01,3.210532528785476813e+01
2.407988747717017759e+03,6.734505848712389171e+07,1.594643923814535737e+08,2.375756352215319112e+02,2.928979498757340139e+01,3.265398871480664411e+01,2.828742021115386862e+00,2.423165855217272565e+03,2.403050868017322955e+03,2.862549148852102121e+01,3.265584643875659765e+01,2.849027838658647482e+01,3.265398871480664411e+01,3.265584643875659765e+01,3.231429076627409813e+01
2.406986975779450404e+03,4.721578038992768526e+07,2.798390933943244815e+08,2.376330633639635153e+02,2.867365289365591252e+01,3.335174128362582735e+01,6.356111688046492958e-01,2.426829242594819334e+03,2.403168503185020654e+03,2.827392419330618623e+01,3.306239859068276132e+01,2.804390017788644940e+01,3.335174128362582735e+01,3.306239859068276132e+01,3.285674831056306289e+01
2.419182843214627155e+03,4.350772409138956666e+07,3.359754010722249150e+08,2.376904915063951762e+02,2.832345481921626629e+01,3.364896855975862877e+01,3.690766398806064608e+00,2.420215748184607037e+03,2.388856263047160610e+03,2.818731653982375462e+01,3.360822472783090120e+01,2.797454208544951371e+01,3.364896855975862877e+01,3.360822472783090120e+01,3.232302928659527197e+01
2.400251933028675012e+03,3.805873440292567015e+07,2.265627934592112899e+08,2.377479196488268371e+02,2.824596688438562353e+01,3.279402973544590338e+01,5.137164232095461358e-01,2.407528740708571604e+03,2.382856581623084821e+03,2.802250901190251398e+01,3.254324788022506709e+01,2.795744566534801123e+01,3.279402973544590338e+01,3.254324788022506709e+01,3.201168931700212283e+01
2.377089873100178465e+03,4.227360994157290459e+07,2.781964551396739483e+08,2.378053477912584697e+02,2.806132343392843609e+01,3.188478601943006652e+01,3.867372645590542390e+00,2.392950244283210850e+03,2.357231501299478623e+03,2.744465203000187614e+01,3.192789027027197335e+01,2.730257718730777583e+01,3.188478601943006652e+01,3.192789027027197335e+01,3.107973731966390574e+01
2.406865295466326188e+03,3.438861412502978742e+07,2.217980362006577253e+08,2.378627759336901022e+02,2.760789092716777304e+01,3.265821792453539274e+01,-3.163066020283309854e+00,2.417046482644140269e+03,2.392346792498799914e+03,2.761118906260153949e+01,3.163055416633329742e+01,2.720996087647073125e+01,3.265821792453539274e+01,3.163055416633329742e+01,3.139437362555185018e+01
2.416601032063234015e+03,3.549821944689368457e+07,2.065310184849570692e+08,2.378886480073146572e+02,2.789822516468545643e+01,3.266532591615745673e+01,4.946402630938685263e+00,2.423839908358197590e+03,2.413898943392578076e+03,2.777027370433668807e+01,3.242762278884603688e+01,2.751332588013377745e+01,3.266532591615745673e+01,3.242762278884603688e+01,3.216902691052375474e+01
2.373546638134740988e+03,3.117184583018440753e+07,2.100903856634448171e+08,2.379302976961851073e+02,2.755204677692256610e+01,3.203275700664157455e+01,1.503088871543184268e+00,2.395622106448623526e+03,2.356676390800043919e+03,2.711912970279861668e+01,3.203670011705551701e+01,2.715495316248383517e+01,3.203275700664157455e+01,3.203670011705551701e+01,3.130372925908028492e+01
2.354394769608399201e+03,3.928718280558231473e+07,2.689589317439973950e+08,2.379719473850556994e+02,2.721655636768589659e+01,3.163914774700972998e+01,-4.906628527939176365e-01,2.379133504855303727e+03,2.338816416614648006e+03,2.686701471835934285e+01,3.156380967977059981e+01,2.659432231721875439e+01,3.163914774700972998e+01,3.156380967977059981e+01,3.077252470791779615e+01
