,Date,last_20_pred
163,2016-12-27,2942.47843231225
164,2016-12-31,2922.3367691876247
165,2017-01-04,2902.195106063
166,2017-01-08,2931.989086900655
167,2017-01-12,2961.78306773831
168,2017-01-16,2982.11258905763
169,2017-01-20,3002.44211037695
170,2017-01-24,3045.82069379367
171,2017-01-28,3063.91812927726
172,2017-02-01,3082.01556476085
173,2017-02-05,3106.202379441365
174,2017-02-09,3130.38919412188
175,2017-02-13,3143.23194464483
176,2017-02-17,3186.27708566431
177,2017-02-21,3206.35206279034
178,2017-02-25,3219.980138304735
179,2017-03-01,3233.60821381913
180,2017-03-05,3219.966319524895
181,2017-03-09,3206.32442523066
182,2017-03-13,3258.05741367627
183,2017-03-17,3272.99897316175
184,2017-03-21,3213.89875568185
185,2017-03-25,3245.418057344425
186,2017-03-29,3276.937359007
187,2017-04-02,3265.24722077949
188,2017-04-06,3253.55708255198
189,2017-04-10,3256.20411384526
190,2017-04-14,3243.712042529856
191,2017-04-18,3231.21997121445
192,2017-04-22,3274.173611056365
193,2017-04-26,3317.12725089828
194,2017-04-30,3340.06119220487
195,2017-05-04,3362.99513351146
196,2017-05-08,3378.15660218699
197,2017-05-12,3423.53157351028
198,2017-05-16,3484.47009729857
199,2017-05-20,3489.025255728335
200,2017-05-24,3493.5804141581
201,2017-05-28,3518.61904344226
202,2017-06-01,3543.65767272642
203,2017-06-05,3572.86593325716
204,2017-06-09,3504.21424632294
205,2017-06-13,3515.87292843574
206,2017-06-17,3523.017638281445
207,2017-06-21,3530.16234812715
208,2017-06-25,3471.814869536065
209,2017-06-29,3413.46739094498
210,2017-07-03,3360.49295665203
211,2017-07-07,3432.56604488345
212,2017-07-11,3489.67256416371
213,2017-07-15,3547.6568363953047
214,2017-07-19,3605.6411086269
215,2017-07-23,3563.63160494976
216,2017-07-27,3521.62210127262
217,2017-07-31,3500.97049801952
218,2017-08-04,3487.77365250284
219,2017-08-08,3510.05189629181
220,2017-08-12,3519.9241296971
221,2017-08-16,3529.79636310239
222,2017-08-20,3512.88302125713
