# NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
-2.753486119895669049e+01,9.918580790002917638e+03,1.090626696155142781e+04,1.995056650411070791e+02,2.246371739323017778e+02,1.957222973066571114e+02,2.273046008288380619e+02,2.246371739323017778e+02,2.230292162636515627e+02
-3.026413842946604404e+01,9.887901065940677654e+03,1.094141987622119632e+04,1.980980974682766202e+02,2.196833484125250209e+02,1.971183384397851910e+02,2.238259999704950758e+02,2.196833484125250209e+02,2.193578551945111030e+02
-4.702281579140927192e+01,1.006671438711389055e+04,1.071689309293362021e+04,1.979329106222009500e+02,2.243978950843524274e+02,1.980888650795537274e+02,2.246401944598614762e+02,2.243978950843524274e+02,2.198549674864354699e+02
5.843196935049377316e-01,1.037377571139244719e+04,1.065083976397142033e+04,1.953891485385220221e+02,2.319741431041956616e+02,1.921410184467293334e+02,2.330266122295978448e+02,2.319741431041956616e+02,2.300498179329638333e+02
-4.784838480751264456e+01,1.067044583467073971e+04,1.048729828473625093e+04,1.932043895427628684e+02,2.368971294724606480e+02,1.930670898641263591e+02,2.383805906980487919e+02,2.368971294724606480e+02,2.277237988642290816e+02
1.102620902074542641e+01,1.082172535086330390e+04,1.048318428614361073e+04,1.955582358262956575e+02,2.337449490994294479e+02,1.917372023961089553e+02,2.389075584122415705e+02,2.337449490994294479e+02,2.341037470623529089e+02
-4.561256308220404776e+01,1.075981808980781352e+04,1.019317408454552788e+04,1.891901927669848362e+02,2.348766066763059825e+02,1.881416901946935241e+02,2.356185788321989776e+02,2.348766066763059825e+02,2.317714736668885394e+02
2.881746283500851291e+01,1.051173197460851043e+04,1.014650337671351008e+04,1.919416930161962682e+02,2.342320043020450271e+02,1.877012939007460091e+02,2.345876119162460895e+02,2.342320043020450271e+02,2.293013459982116160e+02
-3.978402012383986630e+01,1.019044059181632110e+04,1.026870549532930272e+04,1.919511449603788265e+02,2.400708748857476564e+02,1.908804607372852047e+02,2.410092841267447170e+02,2.400708748857476564e+02,2.344237341539355839e+02
8.137945839271424120e+00,9.940385728204309999e+03,1.043520703682290514e+04,1.949278289628759069e+02,2.415970121802925235e+02,1.930290471119321865e+02,2.439065765590584931e+02,2.415970121802925235e+02,2.403346247751971418e+02
-2.931242783551383013e+01,9.875229239855381820e+03,1.048387807487428290e+04,1.938522846281797456e+02,2.424324291066903641e+02,1.939319343461018832e+02,2.454133660225043059e+02,2.424324291066903641e+02,2.411960766927890063e+02
-1.757392680250470107e+01,8.925819751961098518e+03,1.071505235845264542e+04,1.983485008214319407e+02,2.449104394027598346e+02,1.942964047105510588e+02,2.474424608354789541e+02,2.449104394027598346e+02,2.429760138253760147e+02
-2.577113629078766621e+01,8.243456166001362362e+03,1.028733958696084665e+04,1.906856265732380677e+02,2.435929701257674651e+02,1.887289644538185485e+02,2.439535175127120681e+02,2.435929701257674651e+02,2.415773434902043846e+02
1.077619690397000340e+00,9.061524233465215730e+03,1.018671624678592343e+04,1.889219222079131839e+02,2.488958449440507934e+02,1.871521415491124571e+02,2.497156832415781480e+02,2.488958449440507934e+02,2.421734164752584206e+02
-1.336543092014984779e+01,1.106032772803351145e+04,1.024437887608180245e+04,1.893683744975264460e+02,2.518207922104937779e+02,1.885004444007510074e+02,2.533964234608221204e+02,2.518207922104937779e+02,2.509353247473157467e+02
-1.889595984699781184e+00,1.328775588516319840e+04,1.027055680905609915e+04,1.919227360009941208e+02,2.516421529574955116e+02,1.898063493921139582e+02,2.534858885588351995e+02,2.516421529574955116e+02,2.508557992603830940e+02
-1.552310008833181598e+01,1.478193569482965177e+04,1.045143291570715519e+04,1.932078727969472709e+02,2.582569371716745081e+02,1.909505632043988612e+02,2.593075206517431752e+02,2.582569371716745081e+02,2.530776812248793703e+02
-1.771498644163860092e+01,1.482783439998697213e+04,1.066327708256219921e+04,1.952664684352405970e+02,2.582720641102791888e+02,1.944054208882355397e+02,2.599386980126423055e+02,2.582720641102791888e+02,2.582554889959660613e+02
-1.748356027861929363e+01,1.343007970023943562e+04,1.056983039807029672e+04,1.963068783950608633e+02,2.557698203913281247e+02,1.942206421438808661e+02,2.579311514684309827e+02,2.557698203913281247e+02,2.545638524382407581e+02
-1.811265300473463924e+01,1.120400189351476001e+04,1.044260522773837874e+04,1.939825957611455749e+02,2.541634411138650478e+02,1.888671479586413966e+02,2.554708706471486721e+02,2.541634411138650478e+02,2.531063026776331526e+02
-9.262214268997709610e+00,9.152193178160268872e+03,1.022244609896650945e+04,1.912218300836696017e+02,2.479939354436363885e+02,1.848435696691526573e+02,2.550427248714149187e+02,2.479939354436363885e+02,2.445931062839385959e+02
-1.012993073633698771e+01,8.212844309262476600e+03,1.036758842585164166e+04,1.879304906832005884e+02,2.484014601482388969e+02,1.882340661076736694e+02,2.516470219689301189e+02,2.484014601482388969e+02,2.481339327475985783e+02
1.008770049935475299e+01,8.776776362544660515e+03,1.041578362076709709e+04,1.898342014965582223e+02,2.524627436616489149e+02,1.885878698723669231e+02,2.546404168872883247e+02,2.524627436616489149e+02,2.490811459979828442e+02
-3.631093384508130839e+01,1.062065806186810005e+04,1.096051912135719977e+04,1.952344723959365638e+02,2.498552102445535184e+02,1.952724497517392592e+02,2.537224835460194186e+02,2.498552102445535184e+02,2.496721529944856570e+02
-1.530221049913095044e+01,1.285636415705741092e+04,1.081696508758531309e+04,1.966164919399154769e+02,2.471602998446225854e+02,1.928260119671723487e+02,2.511203247245708781e+02,2.471602998446225854e+02,2.470518298740918226e+02
-1.873511357795896970e+01,1.451272571700684057e+04,1.079550864238894064e+04,1.895496027478270946e+02,2.480421871467204369e+02,1.890959644906148469e+02,2.490512415084680526e+02,2.480421871467204369e+02,2.455607506818211050e+02
-1.612174109574412739e+01,1.478271187110480241e+04,1.086047368112420372e+04,1.919862450825443716e+02,2.472683394999372695e+02,1.913185819468677096e+02,2.488083019404213019e+02,2.472683394999372695e+02,2.459460323020839496e+02
-2.504719628059027059e+01,1.357598298011290171e+04,1.081268724452254901e+04,1.954851337024837505e+02,2.481205223973954901e+02,1.843269164700415672e+02,2.511398813269461243e+02,2.481205223973954901e+02,2.465694745679545576e+02
-3.945617879835538133e+00,1.139379127815610627e+04,1.068915187819346465e+04,1.848771260789142161e+02,2.465351863018925087e+02,1.803586805432764208e+02,2.477510167644936701e+02,2.465351863018925087e+02,2.452701682033212478e+02
-1.840469215683737048e+01,9.232111839443432473e+03,1.104622209029620899e+04,1.760575162693595814e+02,2.412699708192188268e+02,1.741845739236746340e+02,2.471359062528492245e+02,2.412699708192188268e+02,2.415733521213387576e+02
-3.369831669943533825e+01,8.048912195618644546e+03,1.091287526798673935e+04,1.755096746387110329e+02,2.434902120375546701e+02,1.714159925383830796e+02,2.444552480866403812e+02,2.434902120375546701e+02,2.422338456880681292e+02
1.290696672318745186e+01,8.358041974699193815e+03,1.092489190033687555e+04,1.729562590186927196e+02,2.444143591774063964e+02,1.737740287120841742e+02,2.447215462500971341e+02,2.444143591774063964e+02,2.419637772116602719e+02
-5.785726472966075562e+01,1.002695847865639007e+04,1.104091950161345812e+04,1.742264810042834426e+02,2.431596637956721452e+02,1.712338771980899423e+02,2.439335391391727512e+02,2.431596637956721452e+02,2.402544708045874700e+02
1.429922967399119216e+01,1.225188860492485401e+04,1.082753440716321347e+04,1.725220085414511004e+02,2.391744347193861699e+02,1.712914512867301369e+02,2.425807413476885586e+02,2.391744347193861699e+02,2.385128002372150036e+02
-4.093034186513796158e+01,1.405352720157971999e+04,1.073846522417499546e+04,1.717049333483408020e+02,2.368479789550977159e+02,1.681558192176768216e+02,2.407204960659094581e+02,2.368479789550977159e+02,2.373199856333262119e+02
-7.843071054056565572e+00,1.455264526241648127e+04,1.065281284650298221e+04,1.693551199500527673e+02,2.355147088362496959e+02,1.668008717337969244e+02,2.375518770042287144e+02,2.355147088362496959e+02,2.345491027986968788e+02
7.035393185341320077e+00,1.355598628953284424e+04,1.051831370000756760e+04,1.688710732274770407e+02,2.348584690487500666e+02,1.684485993611846766e+02,2.354571275429233879e+02,2.348584690487500666e+02,2.340752540626096447e+02
-3.893230858764209756e+01,1.145175981917000172e+04,1.084519935015093506e+04,1.679031904631693237e+02,2.332982741162655316e+02,1.668748299155998041e+02,2.356694698467343301e+02,2.332982741162655316e+02,2.330837902261639556e+02
8.012612086469687256e+00,9.212936797975431546e+03,1.084389751299451746e+04,1.676492823595939683e+02,2.305882346386062807e+02,1.661493771788307185e+02,2.330859576933650601e+02,2.305882346386062807e+02,2.284922394664790772e+02
-4.202411271591648756e+01,7.807264353596745423e+03,1.065340086965409864e+04,1.650776917346195205e+02,2.282721919794801977e+02,1.633529925822804785e+02,2.304394368168168228e+02,2.282721919794801977e+02,2.275914262384691256e+02
9.891860886955100796e+00,7.867091343496414993e+03,1.050836337890897630e+04,1.680012166567494205e+02,2.294682333357095843e+02,1.642563660314936556e+02,2.300976747844270278e+02,2.294682333357095843e+02,2.254861893748852708e+02
-2.802487387399563090e+01,9.347614367097869035e+03,1.032952026625505096e+04,1.753295484724516768e+02,2.282529616184926340e+02,1.741689673314481297e+02,2.300551991859345549e+02,2.282529616184926340e+02,2.264097412518416093e+02
5.664886697790080916e+00,1.154615999082638700e+04,1.040065635723457854e+04,1.784424974091248544e+02,2.268168830579775772e+02,1.740468535178017078e+02,2.302356628991381626e+02,2.268168830579775772e+02,2.272228429369953346e+02
-2.714401611179692964e+01,1.347787124496339311e+04,1.034820019119711287e+04,1.751603241275364553e+02,2.246208818757759786e+02,1.722603824575696763e+02,2.295239361474824591e+02,2.246208818757759786e+02,2.250437376213339462e+02
2.539836536573341164e+01,1.421201183890311222e+04,1.029397869600406375e+04,1.718959938626998110e+02,2.266321633316900943e+02,1.704461376455343498e+02,2.266081137351220889e+02,2.266321633316900943e+02,2.239582590862854090e+02
-2.971239457235458303e+01,1.344426530099513911e+04,1.074565286999512864e+04,1.742627313501992603e+02,2.253551600487652422e+02,1.744129207513670963e+02,2.293397439452521951e+02,2.253551600487652422e+02,2.245842818487278691e+02
-3.435429299315110541e+00,1.145483827664021010e+04,1.070620834731659124e+04,1.793270938702967499e+02,2.243750937087947364e+02,1.784981768810413882e+02,2.262954693813706513e+02,2.243750937087947364e+02,2.218544265158961082e+02
-7.393000207363705556e+00,9.173899507663769327e+03,1.067405045235861689e+04,1.820706751896395872e+02,2.241172773719845566e+02,1.798882819106106012e+02,2.254209174249897103e+02,2.241172773719845566e+02,2.233987029800566120e+02
-2.293356325517311589e+01,7.573217587061120867e+03,1.076959045497386978e+04,1.800682586323615055e+02,2.243620003812752657e+02,1.776585680229576383e+02,2.257762505487723956e+02,2.243620003812752657e+02,2.215304981551775541e+02
7.618265072799957238e+00,7.393022540698301782e+03,1.080070118534902940e+04,1.789547798685399016e+02,2.276418535168384096e+02,1.784161815092853658e+02,2.291549663137717801e+02,2.276418535168384096e+02,2.276472104747724075e+02
-4.676007986110437287e+01,8.676698231844489783e+03,1.079884396512913736e+04,1.804710018293313851e+02,2.249596061331345425e+02,1.764597344413234055e+02,2.275764420172302493e+02,2.249596061331345425e+02,2.246081644763465590e+02
4.139059313970449239e+00,1.083416924458359063e+04,1.053397225966177939e+04,1.761473234374927870e+02,2.227320453974372185e+02,1.734201927220707944e+02,2.257271218294223445e+02,2.227320453974372185e+02,2.201233846103319252e+02
-2.276498504942250634e+01,1.288083425737446487e+04,1.026849677469361995e+04,1.691177428312771838e+02,2.212065791886480213e+02,1.684629485561102911e+02,2.238810465465542165e+02,2.212065791886480213e+02,2.208249179015876393e+02
9.141369911960424588e+00,1.385374569808673914e+04,1.022595504147456813e+04,1.707944534879661092e+02,2.209942318581700533e+02,1.682518778430250848e+02,2.228879383374433019e+02,2.209942318581700533e+02,2.192010071944760057e+02
-1.880610886964379347e+01,1.333138292491939501e+04,1.018653446333015927e+04,1.722775032470562451e+02,2.214652497592163058e+02,1.695209357244741568e+02,2.255424665361913128e+02,2.214652497592163058e+02,2.205118305240999916e+02
