Trade Date,Index Value,Net Change,High,Low
6/25/24,"10,689.95551221720",107.67630101055,"10,699.94094070730","10,580.15732673470"
6/24/24,"10,582.27921120660",-160.18109264541,"10,732.24307907470","10,579.42659102020"
6/21/24,"10,742.46030385200",8.91151547745,"10,769.51329493750","10,640.32317864720"
6/20/24,"10,733.54878837460",-149.80490306125,"10,908.11544233600","10,698.82676366810"
6/18/24,"10,883.35369143580",32.60300217453,"10,914.78986199500","10,851.44440902050"
6/17/24,"10,850.75068926130",137.32322429959,"10,872.58556807210","10,668.96035512340"
6/14/24,"10,713.42746496170",26.73034181120,"10,720.21115995910","10,645.75432791430"
6/13/24,"10,686.69712315050",-37.73337716371,"10,765.67238424830","10,634.06543519820"
6/12/24,"10,724.43050031420",212.49724686644,"10,743.23571847810","10,626.77899794000"
6/11/24,"10,511.93325344780",56.93207804126,"10,513.70341778980","10,375.65320485650"
6/10/24,"10,455.00117540650",118.06787494274,"10,474.52175772290","10,280.42254608100"
6/7/24,"10,336.93330046380",-5.60952108305,"10,390.45950515740","10,301.01878373460"
6/6/24,"10,342.54282154680",-29.54172965667,"10,388.55874179200","10,320.83390572630"
6/5/24,"10,372.08455120350",295.90264310593,"10,373.18601603260","10,192.14262572690"
6/4/24,"10,076.18190809760",-43.81131179265,"10,113.03630968870","10,023.81503187790"
6/3/24,"10,119.99321989020",-1.72772353936,"10,236.70347531570","9,986.28534400718"
5/31/24,"10,121.72094342960",-83.51680400601,"10,200.25280318640","9,887.27162678465"
5/30/24,"10,205.23774743560",-191.16149911669,"10,348.39041804440","10,174.33579020600"
5/29/24,"10,396.39924655230",-130.45191891745,"10,451.02471436840","10,386.54502564120"
5/28/24,"10,526.85116546970",-22.36534093751,"10,594.29436534410","10,462.56886212890"
5/24/24,"10,549.21650640720",53.39236383359,"10,616.84688161390","10,480.60353821350"
5/23/24,"10,495.82414257360",-72.97093934654,"10,704.38779542890","10,444.49428337180"
5/22/24,"10,568.79508192020",61.69663469125,"10,595.29626706490","10,489.32488830690"
5/21/24,"10,507.09844722890",-47.40781969572,"10,515.09810437770","10,437.73817575860"
5/20/24,"10,554.50626692470",135.20555037883,"10,568.80824336600","10,424.56409430440"
5/17/24,"10,419.30071654580",-17.45089900601,"10,471.49149199820","10,364.84797047300"
5/16/24,"10,436.75161555180",-17.53463521902,"10,501.02234848230","10,433.34903995080"
5/15/24,"10,454.28625077090",240.80139562494,"10,456.71904155040","10,280.26097444710"
5/14/24,"10,213.48485514590",72.89309196485,"10,221.07353204710","10,124.28939833120"
5/13/24,"10,140.59176318110",50.25276342330,"10,161.49545360810","10,116.11984030260"
5/10/24,"10,090.33899975780",51.90539464112,"10,171.79154467940","10,061.47686536360"
5/9/24,"10,038.43360511660",-23.37899469982,"10,083.02928447880","10,005.31052144040"
5/8/24,"10,061.81259981650",-14.20929916956,"10,069.12371881740","9,997.67818415713"
5/7/24,"10,076.02189898600",-36.95260538326,"10,150.38756314920","10,072.94913595260"
5/6/24,"10,112.97450436930",130.77950983959,"10,112.98348846400","10,002.87309864840"
5/3/24,"9,982.19499452969",141.69197869728,"10,033.72764162940","9,927.30785478961"
5/2/24,"9,840.50301583241",148.38341562044,"9,866.88929407165","9,649.79611698580"
5/1/24,"9,692.11960021197",-153.56366377843,"9,948.78049716160","9,663.95082679217"
4/30/24,"9,845.68326399040",-193.95632827854,"10,056.66630431330","9,843.39901917836"
4/29/24,"10,039.63959226890",-15.99311638883,"10,091.76206241740","9,984.82313920469"
4/26/24,"10,055.63270865780",161.70174136506,"10,090.73890525010","9,911.51145650833"
4/25/24,"9,893.93096729271",-1.40232104405,"9,930.65688699195","9,742.33502920414"
4/24/24,"9,895.33328833676",66.51540625513,"10,001.52743855180","9,829.17482777812"
4/23/24,"9,828.81788208163",197.09263287019,"9,871.09932754362","9,675.59434527408"
4/22/24,"9,631.72524921144",131.17579091570,"9,681.20241746835","9,474.05174523556"
4/19/24,"9,500.54945829574",-216.15448788181,"9,716.73839280054","9,458.69983345253"
4/18/24,"9,716.70394617755",-100.07257916354,"9,848.76480864797","9,702.06175050382"
4/17/24,"9,816.77652534109",-194.15110765133,"10,031.66345102450","9,813.73487854888"
4/16/24,"10,010.92763299240",34.21043395274,"10,066.92614901520","9,945.21235945769"
4/15/24,"9,976.71719903968",-185.34385633222,"10,268.84524802630","9,941.59894756890"
4/12/24,"10,162.06105537190",-257.66220659352,"10,284.48991448940","10,142.38202465260"
4/11/24,"10,419.72326196540",176.49560236880,"10,435.47487704930","10,228.59404265800"
4/10/24,"10,243.22765959660",-157.09092466070,"10,307.90065387160","10,193.31867381580"
4/9/24,"10,400.31858425730",91.29777888415,"10,416.73822197370","10,278.89467336760"
4/8/24,"10,309.02080537320",2.45336486836,"10,356.05107778530","10,249.68208907600"
4/5/24,"10,306.56744050480",134.06119523534,"10,360.46203992190","10,182.48297979020"
4/4/24,"10,172.50624526950",-199.75805741088,"10,520.82407369410","10,170.70780632560"
4/3/24,"10,372.26430268040",23.77912442796,"10,434.52565578910","10,277.01746620270"
