Date,CPI,IndexValue_NDXT,NetChange_NDXT,High_NDXT,Low_NDXT,Close/Last_GOOGL,Volume_GOOGL,Open_GOOGL,High_GOOGL,Low_GOOGL,Close/Last_AAPL,Volume_AAPL,Open_AAPL,High_AAPL,Low_AAPL
2024-11-20,315.493,10503.8264118962,-32.50966341717,10525.1582829636,10354.8421205334,175.98,18997110,228.06,177.675,173.78,229.93,35169570,228.06,229.93,225.89
2024-11-19,315.493,10536.3360753133,93.35453500714,10543.1125320137,10376.1454558752,178.12,23434930,226.98,178.87,173.56,230.16,36211770,226.98,230.16,226.66
2024-11-18,315.493,10442.9815403062,108.50401929813,10478.5644517392,10347.4465895213,175.3,20206610,225.25,175.438,172.9,229.74,44686020,225.25,229.74,225.17
2024-11-15,315.493,10334.477521008,-342.76848308986,10535.2905570697,10306.2820040728,172.49,32504650,226.4,174.14,171.22,226.92,47923700,226.4,226.92,224.27
2024-11-14,315.493,10677.2460040979,-73.53367836825,10789.3115450675,10667.1664685263,175.58,31007460,225.02,178.82,174.3218,228.87,44923940,225.02,228.87,225.0
2024-11-13,315.493,10750.7796824662,-36.360700426,10856.6876000643,10734.8343530437,178.88,23184000,224.01,180.96,178.54,226.65,48566220,224.01,226.65,222.76
2024-11-12,315.493,10787.1403828922,-41.57318187594,10819.5484606031,10687.1419094739,181.62,25134910,224.55,182.49,179.39,225.59,40398300,224.55,225.59,223.355
2024-11-11,315.493,10828.7135647681,-43.48688227026,10855.67659301,10747.5159313475,180.35,17450350,225.0,180.545,178.47,225.7,42005600,225.0,225.7,221.5
2024-11-08,315.493,10872.2004470384,-83.53256077145,10939.9727659287,10833.2934176138,178.35,22006180,227.17,180.9,178.08,228.66,38328820,227.17,228.66,226.405
2024-11-07,315.493,10955.7330078098,247.29627804609,10970.2702426239,10794.0853051758,180.75,25352940,224.625,181.08,177.19,227.875,42137690,224.625,227.875,224.57
2024-11-06,315.493,10708.4367297637,316.89999285858,10721.0128698633,10556.0824336752,176.51,33695540,222.61,176.94,173.5,226.065,54561120,222.61,226.065,221.19
2024-11-05,315.493,10391.5367369051,137.25976969802,10393.2030700032,10306.3563785091,169.74,18242050,221.795,170.53,168.84,223.95,28111340,221.795,223.95,221.14
2024-11-04,315.493,10254.2769672071,-27.0964033563,10338.8941780803,10185.4841333771,169.24,21492740,220.99,170.73,168.011,222.79,44944470,220.99,222.79,219.71
2024-11-01,315.493,10281.3733705634,127.18100914214,10338.1658161477,10193.2402091709,171.29,31796480,220.965,172.32,168.88,225.35,65276740,220.965,225.35,220.27
2024-10-31,315.5004347826087,10154.1923614213,-313.85739270645,10393.2029667579,10134.9678454696,171.11,44768980,229.34,176.82,171.0,229.83,64370090,229.34,229.83,225.37
2024-10-30,315.5078695652174,10468.0497541277,-277.27628342071,10621.5050869079,10466.2714910136,174.46,68890790,232.61,182.02,174.0599,233.47,47070910,232.61,233.47,229.55
2024-10-29,315.5153043478261,10745.3260375484,221.46664657283,10776.6455816873,10513.9504893823,169.68,42169030,233.1,170.38,167.0896,234.325,35417250,233.1,234.325,232.32
2024-10-28,315.5227391304348,10523.8593909756,34.97961853806,10582.8101028645,10490.8225598609,166.72,32138640,233.32,168.75,163.95,234.73,36087130,233.32,234.73,232.55
2024-10-25,315.5301739130435,10488.8797724376,87.90871435886,10621.4965948873,10477.8430152804,165.27,19828880,229.74,165.59,163.42,233.22,38802300,229.74,233.22,229.57
2024-10-24,315.5376086956522,10400.9710580787,71.68359935754,10425.6808696078,10344.1239236139,162.72,22412530,229.98,163.33,161.01,230.82,31109500,229.98,230.82,228.41
2024-10-23,315.5450434782609,10329.2874587211,-170.16689722161,10480.6788895048,10241.6289322394,162.78,18280520,234.08,165.82,161.925,235.144,52286980,234.08,235.144,227.76
2024-10-22,315.5524782608696,10499.4543559428,-31.1106155918,10532.6357109962,10434.2378213332,165.14,16568120,233.885,165.77,162.98,236.22,38846580,233.885,236.22,232.6
2024-10-21,315.5599130434783,10530.5649715346,-23.61999904042,10588.646708207,10439.0547499998,164.07,20946460,234.45,164.5,162.62,236.85,36254470,234.45,236.85,234.45
2024-10-18,315.567347826087,10554.184970575,28.88612959796,10600.9756291247,10534.2806024427,163.42,19757660,236.18,164.71,163.08,236.18,46431470,236.18,236.18,234.01
2024-10-17,315.57478260869567,10525.298840977,-3.9431862989,10675.7137266174,10524.333909402,162.93,21453400,233.43,166.37,162.76,233.85,32993810,233.43,233.85,230.52
2024-10-16,315.5822173913043,10529.2420272759,-47.84878218393,10614.291739902,10486.7999991884,165.16,16406030,231.6,165.8,163.74,232.12,34082240,231.6,232.12,229.84
2024-10-15,315.589652173913,10577.0908094599,-347.36789209663,10932.5761177675,10528.6134267731,165.46,20247200,233.61,167.68,164.625,237.49,64751370,233.61,237.49,232.37
2024-10-14,315.5970869565217,10924.4587015565,120.195458656,10949.8539911671,10840.8433661735,164.96,19016140,228.7,166.226,163.4,231.73,39882090,228.7,231.73,228.6
2024-10-11,315.6045217391304,10804.2632429005,91.92817663697,10832.8147934784,10680.1287287565,163.24,15344250,229.3,163.9,161.235,229.41,31759190,229.3,229.41,227.34
2024-10-10,315.6119565217391,10712.3350662635,47.73439292726,10736.3532950357,10562.2119601591,162.08,14144070,227.78,163.07,160.395,229.5,28183540,227.78,229.5,227.17
2024-10-09,315.6193913043478,10664.6006733363,150.22647501793,10675.2887876896,10491.2197788191,161.86,31181770,225.23,164.84,159.74,229.75,33591090,225.23,229.75,224.83
2024-10-08,315.6268260869565,10514.3741983183,101.58905816358,10531.3387674055,10378.8791357369,164.38,23072730,224.3,164.725,162.87,225.98,31855690,224.3,225.98,223.25
2024-10-07,315.6342608695652,10412.7851401547,-73.69450653941,10485.1782845528,10370.900672688,162.98,22463140,224.5,168.48,162.75,225.69,39505350,224.5,225.69,221.33
2024-10-04,315.6416956521739,10486.4796466941,150.97780881758,10518.996930119,10377.6438138326,167.06,19093720,227.9,168.23,165.48,228.0,37345100,227.9,228.0,224.13
2024-10-03,315.6491304347826,10335.5018378766,-4.64686603908,10420.7365124129,10251.0080673424,165.86,15073100,225.14,166.64,163.923,226.805,34044160,225.14,226.805,223.32
2024-10-02,315.6565652173913,10340.1487039156,107.77346822892,10400.0130484819,10197.6876943142,165.86,17760180,225.89,167.52,164.73,227.37,32880610,225.89,227.37,223.02
2024-10-01,315.664,10232.3752356867,-210.88070933609,10470.9314843697,10163.9554143158,166.99,28338120,229.52,169.16,164.58,229.65,63285050,229.52,229.65,223.74
2024-09-30,315.6433333333333,10443.2559450228,-46.44091764561,10492.4271078973,10337.8955023298,165.85,20481300,230.04,166.15,163.26,233.0,54793390,230.04,233.0,229.65
2024-09-27,315.62266666666665,10489.6968626684,-50.33045188947,10591.0474426434,10459.7709519505,163.95,21101310,228.46,165.7,162.6261,229.52,34025970,228.46,229.52,227.3
2024-09-26,315.602,10540.0273145579,207.04728098013,10669.0146117454,10368.1049535305,162.73,20319340,227.3,164.08,162.28,228.5,36636710,227.3,228.5,225.41
2024-09-25,315.5813333333333,10332.9800335778,1.62435161109,10411.3484684349,10300.658466151,161.49,18869200,224.93,162.81,161.3,227.29,42308720,224.93,227.29,224.02
2024-09-24,315.56066666666663,10331.3556819667,66.7388578031,10382.2028251332,10222.816209337,162.29,23332150,228.645,163.2158,160.69,229.35,43556070,228.645,229.35,225.73
2024-09-23,315.53999999999996,10264.6168241636,33.86915855964,10291.4197947923,10240.940132173,161.85,24150850,227.34,165.49,161.67,229.45,54146020,227.34,229.45,225.81
2024-09-20,315.5193333333333,10230.7476656039,-68.87690789695,10275.734372538,10116.9234606347,163.59,40896440,229.97,163.73,162.06,233.09,318679900,229.97,233.09,227.62
2024-09-19,315.4986666666667,10299.6245735009,297.32661896226,10380.8460279048,10234.9059494801,162.14,26587730,224.99,163.79,161.34,229.82,66781320,224.99,229.82,224.63
2024-09-18,315.478,10002.2979545386,-73.08618777323,10187.0284259899,9993.84666597583,159.81,23677320,217.55,160.5,158.595,222.71,59894930,217.55,222.71,217.54
2024-09-17,315.45733333333334,10075.3841423119,-17.59235582805,10184.3135124288,10029.8837641309,159.32,20715610,215.75,160.55,158.375,216.9,45519340,215.75,216.9,214.5
2024-09-16,315.43666666666667,10092.9764981399,-27.42812183027,10105.0590792162,10000.2237003487,158.06,18379780,216.54,158.25,156.6,217.22,59357430,216.54,217.22,213.92
2024-09-13,315.416,10120.4046199702,74.39132881596,10153.0751916155,10056.2407464235,157.46,29591150,223.58,158.38,155.21,224.04,36766620,223.58,224.04,221.91
2024-09-12,315.3953333333333,10046.0132911542,-12.95070199396,10111.6341034137,9959.71246784556,154.69,29695050,222.5,154.82,152.65,223.55,37498230,222.5,223.55,219.82
2024-09-11,315.37466666666666,10058.9639931482,258.63507526806,10072.6430671876,9650.4547304171,151.16,29607690,221.455,151.5,147.52,223.09,44587070,221.455,223.09,217.89
2024-09-10,315.354,9800.32891788012,56.1951112655,9807.17494401503,9636.25540783576,148.66,31118770,218.92,151.27,148.34,221.48,51591030,218.92,221.48,216.73
2024-09-09,315.3333333333333,9744.13380661462,125.35129873019,9773.48242488458,9644.02729440353,148.71,39260450,220.82,153.4,147.215,221.27,67179970,220.82,221.27,216.71
2024-09-06,315.31266666666664,9618.78250788443,-255.8089288313,9883.22902266682,9576.46349169625,150.92,37912130,223.95,157.83,150.55,225.24,48423010,223.95,225.24,219.77
2024-09-05,315.292,9874.59143671573,-42.53569050804,9968.15698183187,9797.80691280194,157.24,18688750,221.625,159.45,155.9805,225.48,36615400,221.625,225.48,221.52
2024-09-04,315.2713333333333,9917.12712722377,-84.25667007387,10025.0682599373,9838.47652389917,156.45,19353760,221.66,159.0,155.9616,221.78,43840200,221.66,221.78,217.48
2024-09-03,315.25066666666663,10001.3837972976,-463.82019241691,10351.047663033,9954.2168405102,157.36,38945300,228.55,161.85,156.48,229.0,50190570,228.55,229.0,221.17
2024-08-30,315.23,10465.2039897145,215.86813023353,10486.3877764738,10344.7393888932,163.38,22123810,230.19,163.66,161.6925,230.4,52990770,230.19,230.4,227.48
2024-08-29,315.20933333333335,10249.335859481,96.98697028394,10418.2141555323,10223.2303515962,161.78,19699770,230.1,165.97,160.25,232.92,51906300,230.1,232.92,228.88
2024-08-28,315.1886666666667,10152.3488891971,-160.81540429572,10309.9175850248,10079.1521683409,162.85,16407440,227.92,165.6,161.5284,229.86,38052170,227.92,229.86,225.68
2024-08-27,315.168,10313.1642934928,43.8956336445,10335.2115652733,10170.7938801073,164.68,11821940,225.995,166.4426,164.46,228.85,35934560,225.995,228.85,224.89
2024-08-26,315.14733333333334,10269.2686598483,-200.73220454767,10420.1303092793,10241.7500722603,166.16,14190420,226.76,167.55,164.455,227.28,30602210,226.76,227.28,223.8905
2024-08-23,315.12666666666667,10470.000864396,144.23003527964,10522.7899426339,10366.5542398565,165.62,13955740,225.659,166.18,163.83,228.22,38677250,225.659,228.22,224.33
