# NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
4.839229527060140157e+01,8.921362408357927052e+02,-7.096098217890721571e+01,-1.521016247825002665e+00,-2.661517538268753924e-01,-3.630046040055447065e+00,1.793609768546502892e+00,-2.661517538268753924e-01,1.230338935120187216e+00
2.049853594791166813e+02,1.188437132453482263e+03,4.322179924777265114e+01,-1.135665041107074558e+00,-4.847173932301785726e+00,1.807702693342889688e+00,-3.184600828838057396e+00,-4.847173932301785726e+00,-3.239216263651570671e+00
1.442099667839960375e+02,1.052336479446323210e+03,-1.979866746264960966e+02,-4.809746827660887902e-02,4.316651587474979124e+00,7.516615602148135622e-01,5.940000295049117085e-01,4.316651587474979124e+00,2.214480548889241618e-02
2.623533651278193020e+02,7.125582270357099333e+02,-3.399986235202050011e+01,-1.932910622200950002e+00,7.717104915647581720e+00,-4.338865079553727355e+00,7.649805540138515880e+00,7.717104915647581720e+00,8.625032513564519832e+00
-3.762830302424937656e+00,2.950560241680523177e+02,-1.423517560030195455e+02,-2.479148538522025547e+00,5.375856895804332680e+00,6.689815532706688828e-01,4.983387770402146089e+00,5.375856895804332680e+00,-2.019817932963832163e+00
2.630196827042426548e+02,-6.557806118243934179e+01,-1.631752878511179006e-01,2.345610457237143009e+00,-2.262129472460657098e+00,-1.207089864126345446e+00,5.794093019512160936e-01,-2.262129472460657098e+00,6.706201135770925248e+00
7.590961327806456893e+01,-4.513230985051031894e+02,-2.590585333104099846e+02,-5.898235826295660900e+00,1.005050900570552130e+00,-3.429002396108955963e+00,-2.787558412241565975e+00,1.005050900570552130e+00,-1.631747062352900457e+00
-2.029598744665595689e+01,-5.095778620814144233e+02,-6.842638796402752632e+01,1.819807233015154679e+00,-1.346606676305981409e+00,-7.816901946935104206e-01,-9.485788321989900851e-01,-1.346606676305981409e+00,-2.051473666888540492e+00
-2.305556906610685246e+02,-1.227269023197095521e+02,1.001497241462893726e+02,9.830698380372382417e-02,5.777995697954963816e+00,2.608706099253993216e+00,5.572388083753907040e+00,5.777995697954963816e+00,3.698654001788383994e+00
3.016006156809865502e+00,3.481652744711791456e+02,1.187303896111970971e+02,1.998855039621162177e+00,1.849125114252331059e+00,1.499539262714790766e+00,2.703015873255282031e+00,1.849125114252331059e+00,5.626265846064427478e+00
-2.002262618947414126e+02,8.329593582835896086e+02,5.207775123119427008e+01,5.621710371241022131e-01,1.382987819707466315e+00,1.570952888067807862e+00,1.643423440941518265e+00,1.382987819707466315e+00,1.015375224802852472e+00
2.208037738203238405e+02,9.643058517088174995e+02,2.064573679889163031e+02,3.017715371820258952e+00,1.877570893309638222e+00,-8.193434610188887746e-02,1.916633977495706631e+00,1.877570893309638222e+00,2.003923307210982330e+00
2.565219557921847127e+02,1.634452251025501027e+03,-3.601707160097448650e+02,-6.558500821431948680e+00,-1.550439402759820950e+00,-4.321404710551064454e+00,-3.262460835478947274e+00,-1.550439402759820950e+00,-1.086013825376028308e+00
6.321365764721766567e+01,2.201589991591938087e+03,-7.118008750284752750e+01,-1.255626573238060928e+00,5.337029874232541715e+00,-1.228964453818548463e+00,5.146482487287926233e+00,5.337029874232541715e+00,2.427565097956119189e-01
-8.144410352211700399e+01,1.344792483593384532e+03,4.675005425377639767e+01,3.780777920868274578e-01,3.544155055949204325e+00,1.357858450887533763e+00,3.564316758421853137e+00,3.544155055949204325e+00,7.256583524741586189e+00
-1.698135732990901374e+02,-6.301158833327117463e+02,1.760270174449760816e+01,1.871625502473563074e+00,4.092077895062118387e-01,6.195555992489971686e-01,1.035765391778795674e-01,4.092077895062118387e-01,-1.853247473157466629e-01
-1.243888950024002185e+02,-2.685403813650998927e+03,1.559385045387007267e+02,8.372639990058701187e-01,6.187847042504472483e+00,8.436506078860475100e-01,5.214111441164789085e+00,6.187847042504472483e+00,2.204200739616908322e+00
-1.520132575629818561e+01,-4.072180945241650988e+03,1.539867177538453689e+02,2.392127203052723416e+00,-6.693717167451040950e-02,3.424436795601138783e+00,7.924793482568475156e-01,-6.693717167451040950e-02,4.552318775120625105e+00
1.376446469715585863e+02,-4.135152451584372102e+03,-7.887962445139964984e+01,8.435315647594165966e-01,-2.782064110279179658e+00,-6.254208882355385413e-01,-1.728698012642325921e+00,-2.782064110279179658e+00,-2.965488995966069297e+00
9.756092010955929084e+01,-2.842215810402136412e+03,-1.164843595832971914e+02,-1.676878395060867888e+00,-9.998203913281145105e-01,-4.070642143880860431e+00,-2.281151468430977047e+00,-9.998203913281145105e-01,-1.113852438240769516e+00
