,15_pred_ahead,30_pred_ahead,60_pred_ahead,180_pred_ahead,365_pred_ahead
93,2279.93533076079,2279.93533076079,2279.93533076079,2279.93533076079,2279.93533076079
94,2295.17522084558,2295.17522084558,2295.17522084558,2295.17522084558,2295.17522084558
95,2312.17766406398,2312.17766406398,2312.17766406398,2312.17766406398,2312.17766406398
96,2298.79456745058,2298.79456745058,2298.79456745058,2298.79456745058,2298.79456745058
97,2297.09919552148,2297.09919552148,2297.09919552148,2297.09919552148,2297.09919552148
98,2288.79694155549,2288.79694155549,2288.79694155549,2288.79694155549,2288.79694155549
99,2313.84404223931,2313.84404223931,2313.84404223931,2313.84404223931,2313.84404223931
100,2285.4705056452,2285.4705056452,2285.4705056452,2285.4705056452,2285.4705056452
101,2293.37871701809,2293.37871701809,2293.37871701809,2293.37871701809,2293.37871701809
102,2334.92706676465,2334.92706676465,2334.92706676465,2334.92706676465,2334.92706676465
103,2292.68557035801,2292.68557035801,2292.68557035801,2292.68557035801,2292.68557035801
104,2296.87395318774,2296.87395318774,2296.87395318774,2296.87395318774,2296.87395318774
105,2283.89201089968,2283.89201089968,2283.89201089968,2283.89201089968,2283.89201089968
106,2288.65916044405,2288.65916044405,2288.65916044405,2288.65916044405,2288.65916044405
107,2305.49212556604,2305.49212556604,2305.49212556604,2305.49212556604,2305.49212556604
108,2281.25712259975,2281.25712259975,2281.25712259975,2281.25712259975,2281.25712259975
109,2258.73361577445,2258.73361577445,2258.73361577445,2258.73361577445,2258.73361577445
110,2191.23569084064,2191.23569084064,2191.23569084064,2191.23569084064,2191.23569084064
111,2122.36685048669,2122.36685048669,2122.36685048669,2122.36685048669,2122.36685048669
112,2050.41719218714,2050.41719218714,2050.41719218714,2050.41719218714,2050.41719218714
113,2023.11652408246,2023.11652408246,2023.11652408246,2023.11652408246,2023.11652408246
114,2116.19098255,2116.19098255,2116.19098255,2116.19098255,2116.19098255
115,2178.75393770825,2178.75393770825,2178.75393770825,2178.75393770825,2178.75393770825
116,2181.72262330672,2181.72262330672,2181.72262330672,2181.72262330672,2181.72262330672
117,2168.15096665163,2168.15096665163,2168.15096665163,2168.15096665163,2168.15096665163
118,2102.66468918052,2102.66468918052,2102.66468918052,2102.66468918052,2102.66468918052
119,2145.22384682508,2145.22384682508,2145.22384682508,2145.22384682508,2145.22384682508
120,2152.79246926902,2152.79246926902,2152.79246926902,2152.79246926902,2152.79246926902
121,2118.09795728782,2118.09795728782,2118.09795728782,2118.09795728782,2118.09795728782
122,2191.13548053725,2191.13548053725,2191.13548053725,2191.13548053725,2191.13548053725
123,2161.58003423434,2161.58003423434,2161.58003423434,2161.58003423434,2161.58003423434
124,2175.4750795179,2175.4750795179,2175.4750795179,2175.4750795179,2175.4750795179
125,2181.18818290316,2181.18818290316,2181.18818290316,2181.18818290316,2181.18818290316
126,2178.46892863254,2178.46892863254,2178.46892863254,2178.46892863254,2178.46892863254
