# IndexValue_NDXT, Volume_GOOGL,Volume_AAPL,CPI,High_GOOGL,High_AAPL
1.088774540738718679e+04,3.679098793919856101e+07,5.135559544986148924e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.537224835460194186e+02
1.101533000181406351e+04,3.974097314445115626e+07,5.258610176976212859e+07,3.154926164347545523e+02,8.670569072491184670e+01,2.511203247245708781e+02
1.089741812050043154e+04,2.647083198272626102e+07,3.857393107097156346e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.490512415084680526e+02
1.086746995393889665e+04,3.332026967757669836e+07,4.649857330310161412e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.488083019404213019e+02
1.094818725692517364e+04,5.039844110459671170e+07,4.804150538763280213e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.511398813269461243e+02
1.077928004370726558e+04,4.356306494735552371e+07,4.784850017052082717e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.477510167644936701e+02
1.098123018666948701e+04,2.979105263753815368e+07,4.662908074624256790e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.471359062528492245e+02
1.102014500544838847e+04,2.911130159132310003e+07,4.229619159548246861e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.444552480866403812e+02
1.093793112341140295e+04,2.500669226492848992e+07,4.284419627757931501e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.447215462500971341e+02
1.110790462816159925e+04,2.971650242843544483e+07,4.436785664241045713e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.439335391391727512e+02
1.093417442753904834e+04,2.411804767186518013e+07,4.159102649678800255e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.425807413476885586e+02
1.090062808256678727e+04,2.584477860828212276e+07,4.596431947570193559e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.407204960659094581e+02
1.074384520294047252e+04,2.001366335943058506e+07,3.662089299544693530e+07,3.154926164347545523e+02,8.670569072491184670e+01,2.375518770042287144e+02
1.063738230630332691e+04,2.413772483766406029e+07,3.857772228053645790e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.354571275429233879e+02
1.081547241234953617e+04,2.385824240543653071e+07,4.492488292393357307e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.356694698467343301e+02
1.092958451324138696e+04,3.097380064111388475e+07,6.887787181113696098e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.330859576933650601e+02
1.075666993343763352e+04,3.217890431412955374e+07,4.113549472034050524e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.304394368168168228e+02
1.072252337944401916e+04,4.574697403044202924e+07,4.639100385860402882e+07,3.154926164347545523e+02,8.670569072491184670e+01,2.300976747844270278e+02
1.050011709755097763e+04,2.377714871257197112e+07,4.001995504720149189e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.300551991859345549e+02
1.054109620061539317e+04,2.937964369242504984e+07,4.144434450127471238e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.302356628991381626e+02
1.047856496206607517e+04,2.431505114716091380e+07,4.339612893691644073e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.295239361474824591e+02
1.033270727847479066e+04,3.229582262438788265e+07,4.936790241402351856e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.266081137351220889e+02
1.064472217094444022e+04,2.757426731358267367e+07,4.535148944772060961e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.293397439452521951e+02
1.078039110883766261e+04,2.557707256347435713e+07,4.986316624468448758e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.262954693813706513e+02
1.076466428403979444e+04,2.583963614489014447e+07,4.238658939068466425e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.254209174249897103e+02
1.081425465977985914e+04,2.284624595360834152e+07,4.349226469386076927e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.257762505487723956e+02
1.086842514381873843e+04,2.523383008478870243e+07,4.131506307632893324e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.291549663137717801e+02
1.092529021053800170e+04,2.803641085787296295e+07,4.372580475491132587e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.275764420172302493e+02
1.074214191566349473e+04,3.009317606359845027e+07,5.025807825574056059e+07,3.154926164347545523e+02,8.670569072491184670e+01,2.257271218294223445e+02
1.039791098539756240e+04,2.187719518103677779e+07,3.678612593881909549e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.238810465465542165e+02
1.026933816174403546e+04,2.410846239789793268e+07,4.538157026294305921e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.228879383374433019e+02
1.029755523746071049e+04,2.877087382605618238e+07,5.588931970482067764e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.255424665361913128e+02
1.019809670056493997e+04,3.785397856258880347e+07,5.546248716661892086e+07,3.155073835792086925e+02,8.670569072491184670e+01,2.301513746645723586e+02
1.045384956522652283e+04,5.173120230818609893e+07,4.684952122293836623e+07,3.155148183006700719e+02,8.670569072491184670e+01,2.338628990077593812e+02
1.071415485782048199e+04,3.824333011297401786e+07,4.246460601654091477e+07,3.155222530221317356e+02,8.670569072491184670e+01,2.342695454396233572e+02
1.053774012201082041e+04,3.441798399137967080e+07,4.081019615221706033e+07,3.155296877435931151e+02,8.670569072491184670e+01,2.345547775650444464e+02
1.044473028779465312e+04,2.447781605190778896e+07,4.263965043947644532e+07,3.155371224650546651e+02,8.670569072491184670e+01,2.330810138349985436e+02
1.038417105404501854e+04,2.569396550533786044e+07,3.788095415283945948e+07,3.155445571865162151e+02,8.670569072491184670e+01,2.307647700753188076e+02
1.032337058948622689e+04,2.223759702046156675e+07,5.017545141284373403e+07,3.155519919079777083e+02,8.670569072491184670e+01,2.356234348255266013e+02
1.050226502754360263e+04,2.157890331478496641e+07,4.284084680600587279e+07,3.155594266294392014e+02,8.670569072491184670e+01,2.360771856747427648e+02
1.055692968717252552e+04,2.404553646611001715e+07,4.111847320160044730e+07,3.155668613509007514e+02,8.670569072491184670e+01,2.369883864098794675e+02
1.057178613580956153e+04,2.374025964121957123e+07,4.507974836847627908e+07,3.155742960723621877e+02,8.670569072491184670e+01,2.360699709979240879e+02
1.056327388216105282e+04,2.315037090720140561e+07,3.785295645106203854e+07,3.155817307938237946e+02,8.670569072491184670e+01,2.335194818673680857e+02
1.053368649040270975e+04,2.168153482247960567e+07,3.753570275076223910e+07,3.155891655152851740e+02,8.670569072491184670e+01,2.320233639892103668e+02
1.058342165806411504e+04,2.285591277045775205e+07,5.524276868360458314e+07,3.155966002367467240e+02,8.670569072491184670e+01,2.382647917327055325e+02
1.088758080913194681e+04,2.178708093432401493e+07,4.112299119112519920e+07,3.156040349582082172e+02,8.670569072491184670e+01,2.308412236458511018e+02
1.076997253673308296e+04,2.109340942454378307e+07,3.826296984276185185e+07,3.156114696796698240e+02,8.670569072491184670e+01,2.292252149025573829e+02
1.068724059430270609e+04,1.981405462579972297e+07,3.593659519093282521e+07,3.156189044011312035e+02,8.670569072491184670e+01,2.296215834381305285e+02
1.062249774893151880e+04,2.855032673992922902e+07,3.781542080273044854e+07,3.156263391225928103e+02,8.670569072491184670e+01,2.300049719172554035e+02
1.051519427670650293e+04,2.432335160022900254e+07,3.585018438905762881e+07,3.156337738440542466e+02,8.670569072491184670e+01,2.253912455406265849e+02
1.042654938564188342e+04,2.461499895805647597e+07,4.154467069911029935e+07,3.156412085655158535e+02,8.670569072491184670e+01,2.255998559960610805e+02
1.052111006722601996e+04,2.210112176147615537e+07,3.904478678220183402e+07,3.156486432869772898e+02,8.670569072491184670e+01,2.284889238661738773e+02
1.035180629830928410e+04,2.120794076332419366e+07,3.858292279962150007e+07,3.156560780084388966e+02,8.670569072491184670e+01,2.267391882623288950e+02
1.038420254507767277e+04,2.120020949112867564e+07,3.613943911299293488e+07,3.156635127299002761e+02,8.670569072491184670e+01,2.271682931981416402e+02
1.025877214799753165e+04,2.700933284072101489e+07,5.239437009033352882e+07,3.156709474513618829e+02,8.670569072491184670e+01,2.298112266620503021e+02
1.042448769240470028e+04,2.288791936351297796e+07,4.757464703696151078e+07,3.156225663968072581e+02,8.670569072491184670e+01,2.336412375646351336e+02
1.048476758306243210e+04,2.346093011369422451e+07,3.851227820279946178e+07,3.156018999001130965e+02,8.670569072491184670e+01,2.289226760682103361e+02
1.051941865192597834e+04,2.223289090940321237e+07,3.986598437262657285e+07,3.155812334034188780e+02,8.670569072491184670e+01,2.281525556978119198e+02
1.028327564216886094e+04,2.306734183837639168e+07,4.293074071735244244e+07,3.155605669067247732e+02,8.670569072491184670e+01,2.273590959812779033e+02
1.032855465942970113e+04,2.403799745058021694e+07,4.241875579880734533e+07,3.155399004100304978e+02,8.670569072491184670e+01,2.299808086509266332e+02
1.024433857305548736e+04,2.488482298914864287e+07,4.982414050878962129e+07,3.155192339133364499e+02,8.670569072491184670e+01,2.290838586304341788e+02
1.026303554674382394e+04,3.441055358691712469e+07,1.921455638371920586e+08,3.154985674166421177e+02,8.670569072491184670e+01,2.332451699544474479e+02
1.030993252662340274e+04,2.601523503080015630e+07,6.051748369988919795e+07,3.154779009199481266e+02,8.670569072491184670e+01,2.296366958251567780e+02
1.007478458189371304e+04,2.600154850892217085e+07,6.696915619877959788e+07,3.154572344232537944e+02,8.670569072491184670e+01,2.221485535575401400e+02
1.006308203580378540e+04,2.403700989460994676e+07,5.335227475116875768e+07,3.154365679265596896e+02,8.670569072491184670e+01,2.160993935154059216e+02
1.014570719719463159e+04,2.234897469910963625e+07,6.351522886018902808e+07,3.154159014298655279e+02,8.670569072491184670e+01,2.175573493374069471e+02
1.012136393490327828e+04,2.761780472183379531e+07,4.050112623179933429e+07,3.153952349331712526e+02,8.670569072491184670e+01,2.252332077969589932e+02
1.002014028570412120e+04,2.774247345967742056e+07,6.271129315483026206e+07,3.153745684364770909e+02,8.670569072491184670e+01,2.230310216306017992e+02
1.004409298091785240e+04,2.792327430728464946e+07,5.074860003820245713e+07,3.153539019397829293e+02,8.670569072491184670e+01,2.226176174935668541e+02
9.772781858416359682e+03,2.923866877712528408e+07,6.589099586014837027e+07,3.153332354430887676e+02,8.670569072491184670e+01,2.215825508248267965e+02
9.726998754376343641e+03,3.396889261232325435e+07,5.879160458743321896e+07,3.153125689463945491e+02,8.670569072491184670e+01,2.216976200018000327e+02
9.622979537385292133e+03,3.406417721047071368e+07,5.010913739873947203e+07,3.152919024497003875e+02,8.670569072491184670e+01,2.253048031377340692e+02
9.884998941977104550e+03,2.385404681454999745e+07,4.247822452400165796e+07,3.152712359530061690e+02,8.670569072491184670e+01,2.251087414780761264e+02
9.931716249605651683e+03,2.361878853141751140e+07,4.643792966538333893e+07,3.152505694563120073e+02,8.670569072491184670e+01,2.217603674440446468e+02
1.004233698811560134e+04,3.284577060137059540e+07,4.862136921344225854e+07,3.152299029596178457e+02,8.670569072491184670e+01,2.300325004686265231e+02
1.044826563645485476e+04,2.322612916153062135e+07,5.006223785405617952e+07,3.152092364629237409e+02,8.670569072491184670e+01,2.299154748975504390e+02
1.029716058964510376e+04,2.338455021513861790e+07,5.137199346556329727e+07,3.151885699662294655e+02,8.670569072491184670e+01,2.331797339065204540e+02
1.011721070640247854e+04,2.119373299674161151e+07,4.379014546070463955e+07,3.151679034695353607e+02,8.670569072491184670e+01,2.296504852964839642e+02
1.030219209945331204e+04,1.916754989958031476e+07,4.245903106089951843e+07,3.151472369728411422e+02,8.670569072491184670e+01,2.287790835472770823e+02
1.024434125369475441e+04,1.880435583164454997e+07,3.825311723556024581e+07,3.151265704761469237e+02,8.670569072491184670e+01,2.268996715371470714e+02
1.041292660785847693e+04,1.834317078926645964e+07,4.189015636328089237e+07,3.151059039794528189e+02,8.670569072491184670e+01,2.285708279793909696e+02
1.035847146574696490e+04,2.283194542151093483e+07,4.453228144018634409e+07,3.150852374827585436e+02,8.670569072491184670e+01,2.284692418859109750e+02
1.050363669000932714e+04,2.249998305474366620e+07,4.039132402980314940e+07,3.150645709860644388e+02,8.670569072491184670e+01,2.277079610445029516e+02
1.046944136995830559e+04,2.129038061459856480e+07,3.729179595808874071e+07,3.150439044893701634e+02,8.670569072491184670e+01,2.269764030732923459e+02
1.053751914990121622e+04,2.505212610747268051e+07,4.243901037394396216e+07,3.150232379926760586e+02,8.670569072491184670e+01,2.261383028898943621e+02
1.037103716018200430e+04,2.474499628784285113e+07,4.294902520245813578e+07,3.150025714959818970e+02,8.670569072491184670e+01,2.269942854856822692e+02
1.039404511569502210e+04,2.887891866603184119e+07,4.450664262904325873e+07,3.149819049992875648e+02,8.670569072491184670e+01,2.248953988396658588e+02
1.004047117262335087e+04,3.366175752705761790e+07,4.264308960873255134e+07,3.149612385025936874e+02,8.670569072491184670e+01,2.228557376603391162e+02
1.006049484475664940e+04,2.150421902575699240e+07,4.420200494138424098e+07,3.149405720058991847e+02,8.670569072491184670e+01,2.220594500155408468e+02
9.740010854115816983e+03,2.148780049411675707e+07,4.062448531156744063e+07,3.149199055092051367e+02,8.670569072491184670e+01,2.192040611039852820e+02
9.781956398855631051e+03,2.730626886749341339e+07,4.302239249764157832e+07,3.148992390125109750e+02,8.670569072491184670e+01,2.163714420077991463e+02
9.721872195727637518e+03,2.582664668171322718e+07,4.542667879962747544e+07,3.148785725158168702e+02,8.670569072491184670e+01,2.141312067790915421e+02
9.384299950816439377e+03,2.592886096046266332e+07,5.517092252541106939e+07,3.148579060191225381e+02,8.670569072491184670e+01,2.138354961383862474e+02
9.347685878495467477e+03,3.789467258558157086e+07,5.863965332405295968e+07,3.148372395224284901e+02,8.670569072491184670e+01,2.094335871815802079e+02
9.346720505570989189e+03,4.087799331981528550e+07,8.682147029545946419e+07,3.148165730257342148e+02,8.670569072491184670e+01,2.139272331313229643e+02
9.454584064054835835e+03,2.962230112638280541e+07,8.003818944888705015e+07,3.147959065290400531e+02,8.670569072491184670e+01,2.270518056569023599e+02
9.927917880334398433e+03,2.730590143452997878e+07,6.030178832497459650e+07,3.147752400323458914e+02,8.670569072491184670e+01,2.239631688407051513e+02
1.035171634718794667e+04,2.830388915050939098e+07,5.394206023707752675e+07,3.147725097412316018e+02,8.670569072491184670e+01,2.234249145493150195e+02
1.000473604828363386e+04,2.306159047659749165e+07,5.009241951074685901e+07,3.147608734732982612e+02,8.670569072491184670e+01,2.199063553197143506e+02
1.019018183022416633e+04,2.171840594480757415e+07,4.545663321232405305e+07,3.147492372053649206e+02,8.670569072491184670e+01,2.197661263146609656e+02
1.021709677045642457e+04,3.368578625200100988e+07,5.080338807802010328e+07,3.147376009374314663e+02,8.670569072491184670e+01,2.194312379200419514e+02
1.011380290128807974e+04,3.539692282145415246e+07,5.556327458517568558e+07,3.147259646694980688e+02,8.670569072491184670e+01,2.206282667285144043e+02
1.013870446822545273e+04,3.949126353013268113e+07,6.067086200578881055e+07,3.147143284015647851e+02,8.670569072491184670e+01,2.253991290149411952e+02
1.061844541214878518e+04,3.516960665357789397e+07,4.741861060706516355e+07,3.147026921336312739e+02,8.670569072491184670e+01,2.273207130367324851e+02
1.067847103692884048e+04,2.945758507068633288e+07,4.947777099561172724e+07,3.146910558656979902e+02,8.670569072491184670e+01,2.274737348872150164e+02
1.051947610796395747e+04,2.325711945354567468e+07,4.838160583466887474e+07,3.146794195977646496e+02,8.670569072491184670e+01,2.264248393088558373e+02
1.061046669217341332e+04,2.582547468946389854e+07,5.741999943799011409e+07,3.146677833298311384e+02,8.670569072491184670e+01,2.312678105790172651e+02
1.074901377514119304e+04,2.161579596127910167e+07,5.279909700253757089e+07,3.146561470618978547e+02,8.670569072491184670e+01,2.315491645721915006e+02
1.115327288537419372e+04,2.053064049183816090e+07,4.764964877072478086e+07,3.146445107939645141e+02,8.670569072491184670e+01,2.363682348416014634e+02
1.117787158110191740e+04,2.079913526268663630e+07,5.694573060896491259e+07,3.146328745260310029e+02,8.670569072491184670e+01,2.371193019257671608e+02
1.112413382969263694e+04,2.596526279663116112e+07,5.260572754360350966e+07,3.146212382580977192e+02,8.670569072491184670e+01,2.324731702199563301e+02
1.095825870751843468e+04,2.608188309998644516e+07,5.785913481577917188e+07,3.146096019901643785e+02,8.670569072491184670e+01,2.323800354067102489e+02
1.124171502390316891e+04,2.114090347522320226e+07,5.818107090314042568e+07,3.145979657222308674e+02,8.670569072491184670e+01,2.328751671754189658e+02
1.112980301134046385e+04,1.933388850113938004e+07,5.118095548854638636e+07,3.145863294542976405e+02,8.670569072491184670e+01,2.292183643489071869e+02
1.118529422510574295e+04,2.104356400921914354e+07,5.638122111989681423e+07,3.145746931863641294e+02,8.670569072491184670e+01,2.279577584023827512e+02
1.111898367595660056e+04,2.176791273843736202e+07,5.773658612632016838e+07,3.145630569184307888e+02,8.670569072491184670e+01,2.260544962343918485e+02
1.107373785000511998e+04,1.780942637725751102e+07,4.414056354980140924e+07,3.145514206504975618e+02,8.670569072491184670e+01,2.210196470334906849e+02
